symbol,contractType,status,baseAsset,quoteAsset,marginAsset,onboardDate,permissionSets
AAOIUSDT,TRADIFI_PERPETUAL,TRADING,AAOI,USDT,USDT,1.78091E+12,COPY|DCA|GRID|PSB|RPI
AAPLUSDT,TRADIFI_PERPETUAL,TRADING,AAPL,USDT,USDT,1.77548E+12,COPY|DCA|GRID|PSB|RPI
ADBEUSDT,TRADIFI_PERPETUAL,TRADING,ADBE,USDT,USDT,1.78117E+12,COPY|DCA|GRID|PSB|RPI
ALABUSDT,TRADIFI_PERPETUAL,TRADING,ALAB,USDT,USDT,1.78214E+12,COPY|DCA|GRID|PSB|RPI
AMATUSDT,TRADIFI_PERPETUAL,TRADING,AMAT,USDT,USDT,1.78091E+12,COPY|DCA|GRID|PSB|RPI
AMDUSDT,TRADIFI_PERPETUAL,TRADING,AMD,USDT,USDT,1.77807E+12,COPY|DCA|GRID|PSB|RPI
AMZNUSDT,TRADIFI_PERPETUAL,TRADING,AMZN,USDT,USDT,1.77065E+12,COPY|DCA|GRID|PSB|RPI
ANTHROPICUSDT,TRADIFI_PERPETUAL,TRADING,ANTHROPIC,USDT,USDT,1.78037E+12,COPY|DCA|GRID|PSB|RPI
APPUSDT,TRADIFI_PERPETUAL,TRADING,APP,USDT,USDT,1.78367E+12,COPY|DCA|GRID|PSB|RPI
ARMUSDT,TRADIFI_PERPETUAL,TRADING,ARM,USDT,USDT,1.7798E+12,COPY|DCA|GRID|PSB|RPI
ASMLUSDT,TRADIFI_PERPETUAL,TRADING,ASML,USDT,USDT,1.78117E+12,COPY|DCA|GRID|PSB|RPI
ASTSUSDT,TRADIFI_PERPETUAL,TRADING,ASTS,USDT,USDT,1.78032E+12,COPY|DCA|GRID|PSB|RPI
AVGOUSDT,TRADIFI_PERPETUAL,TRADING,AVGO,USDT,USDT,1.77669E+12,COPY|DCA|GRID|PSB|RPI
AXTIUSDT,TRADIFI_PERPETUAL,TRADING,AXTI,USDT,USDT,1.78091E+12,COPY|DCA|GRID|PSB|RPI
BABAUSDT,TRADIFI_PERPETUAL,TRADING,BABA,USDT,USDT,1.77669E+12,COPY|DCA|GRID|PSB|RPI
BBXUSDT,TRADIFI_PERPETUAL,TRADING,BBX,USDT,USDT,1.78032E+12,COPY|DCA|GRID|PSB|RPI
BEUSDT,TRADIFI_PERPETUAL,TRADING,BE,USDT,USDT,1.7798E+12,COPY|DCA|GRID|PSB|RPI
BMNRUSDT,TRADIFI_PERPETUAL,TRADING,BMNR,USDT,USDT,1.78117E+12,COPY|DCA|GRID|PSB|RPI
BNCUSDT,TRADIFI_PERPETUAL,TRADING,BNC,USDT,USDT,1.78361E+12,COPY|DCA|GRID|PSB|RPI
BOTUSDT,TRADIFI_PERPETUAL,TRADING,BOT,USDT,USDT,1.78361E+12,COPY|DCA|GRID|PSB|RPI
BRKBUSDT,TRADIFI_PERPETUAL,TRADING,BRKB,USDT,USDT,1.77911E+12,COPY|DCA|GRID|PSB|RPI
BSPUSDT,TRADIFI_PERPETUAL,TRADING,BSP,USDT,USDT,1.78299E+12,COPY|DCA|GRID|PSB|RPI
BXUSDT,TRADIFI_PERPETUAL,TRADING,BX,USDT,USDT,1.78091E+12,COPY|DCA|GRID|PSB|RPI
BZUSDT,TRADIFI_PERPETUAL,TRADING,BZ,USDT,USDT,1.77503E+12,COPY|DCA|GRID|PSB|RPI
CATUSDT,TRADIFI_PERPETUAL,TRADING,CAT,USDT,USDT,1.78298E+12,COPY|DCA|GRID|PSB|RPI
CBRSUSDT,TRADIFI_PERPETUAL,TRADING,CBRS,USDT,USDT,1.77918E+12,COPY|DCA|GRID|PSB|RPI
CIENUSDT,TRADIFI_PERPETUAL,TRADING,CIEN,USDT,USDT,1.78214E+12,COPY|DCA|GRID|PSB|RPI
CLUSDT,TRADIFI_PERPETUAL,TRADING,CL,USDT,USDT,1.77503E+12,COPY|DCA|GRID|PSB|RPI
COHRUSDT,TRADIFI_PERPETUAL,TRADING,COHR,USDT,USDT,1.7798E+12,COPY|DCA|GRID|PSB|RPI
COINUSDT,TRADIFI_PERPETUAL,TRADING,COIN,USDT,USDT,1.77065E+12,COPY|DCA|GRID|PSB|RPI
COPPERUSDT,TRADIFI_PERPETUAL,TRADING,COPPER,USDT,USDT,1.77279E+12,COPY|DCA|GRID|PSB|RPI
COSTUSDT,TRADIFI_PERPETUAL,TRADING,COST,USDT,USDT,1.781E+12,COPY|DCA|GRID|PSB|RPI
